Week,Combined_Raw_Text
Week 1,"Which female wants to get some? The school dey kill me o i’d give up all my men for you but you said you’re not ready for anything serious hm😔 Some squad deg toss early in the moring I am a sex addict (I have never had sex before). Charle the school hard. But i still go graduate That engineering department hm I have the biggest crush on that maisy girl in 26, heard she has a boyfriend abroad but that won’t stop me from getting her  I want the Nicole girl in 26, but she’s been reshing me and plenty other guys  School is too overwhelming and overloaded. Sometimes I feel like ending it all fr sometimes i feel like jumping from the hostel rooftop. i stood there for an hour before turning around and going to my room.  So the education issue I know nobody forced me but why is it so hard oh what a life fam, its annoying that some gates are locked around 11pm. What is the point? Why is Big Ben so stingy with their stew like come onnn More food places on this campus would help also a laundry service off campus would help because tell me why I am carrying my laundry all the way to school. I am not Kofi Kingston yk  Why is the gym closed at 9pm what if I want to do aesthetic boy and go and lift at 2 am How would people who want to play a sport but are shy of playing a sport go about playing a sport yk . Cause me I am a shy person"
Week 2,"That one guy Julias, he too smart! I also have a crush on him but he's short 💀😭 Didn't someone do this last time and it got shut down? i have this guy i’ve been talking to for a while, well not for a while, it’s been six months and he hasn’t asked me to be his girlfriend yet. idk why , it bothers me cause i feel like he’s hiding us . doesn’t post us i don’t think even his friends know that we’re together. what do i do?  Ashesi boys have 0 class and are so entitled and judgmental, it’s disgusting. All they do is kiss and tell and be proud of it. Sorry for generalizing, but it’s quite a number of them who do this. There’s no honor in kissing and telling and the people you’re telling to, have no respect for you as a person. They need to grow tf up, we’re not kids anymore.  Having swings was such a great idea  There isn't a space for hopeless romantics here  honestly speaking Ashesi boys enjoy kiss and tell and even add stuff that didn’t happen to the kiss and tell ei? so just can’t keep quiet? must you tell everybody? and you’re proud of it too, treating girls like trophies trying to bag all of them. that’s quiet nasty  Word of advice: do not date an Ashesi boy, protect your peace please🙏🙏. They will lie to you and make it look like you’re desperate.  26 girls are whoever they say they are. Their beauty is out of this world  that tall boy in C’25. thinking you can get away with the things you do lol Can they move Big Ben to Akonnor’s location and sack Akonnor Some Ashesi students are the most corrupt people I've ever met.The most shocking for me are those who parade as good people. SHAME! Chale why am I fighting for my life in a half credit course? #Leadership Be specific wai... bunch tall boys dey c'25. Make you no spoil wanna brand😹😹 Ashesi boys don’t be shy to approach we don’t bite…sometimes  Ashesi girls will show you pepper Beatrice c26 I really really appreciate your friendship 💖 i hope your hairline recedes till you grow bald, evil boy Somebody for humble munchies. Just because they’re the only ones with waffles them Dey take we play There is one guy in C'25 , every single day he is lying  One day that Leadership I lecturer will see me waiting by his car with a bat #i’lldoyoubeforeyoudome shout out to all the girls with locs, you guys can have my school fees 😫 My lady in C'26... You'll be mine soon (she follows this IG page) <3 The smoking will kill you o your lungs like eyi. Jesus loves you all❤️ New masere boys, leave your room na we like you oh! I go for basketball games JUST for the boys😀 Munchies forget o, Peckish Pen for the win🔝 That short boy in '25 be knacking people's girlfriends, he looks innocent but he's the devil I tell you! People be fucking too much on this hill. Even in the handicap toilet, backseat of the car! Eii! God is watching you all How explicit can we get we these confessions? Hosanna Hostel😔. Those who know, know. How can I call munchies and in the middle of the order they’ll tell me “Call back I’m taking someone’s order” Ah then why did you pick the phone? If God did exist,
Then you would be mine,
You're in my prayers,
Every single night Maybe it's cause I forget faces easily, 
But I can swear I see a new ""most beautiful girl I've ever seen"" every week The current ASC should stay out of this elections Taking the right path sometimes makes you seem like a fool Why is this boy such a man-child? At your big age? Oh nooo NK and his group, C'26, are so mean to girls in public places. They think it's cool. It's time to grow up, assholes! Please post more responses🫠 Those guys who don't like scholars,what have we done err🥺🥺? At least talk to us. This school is too boring ah This school plenty funfoolers dey. We all dey complain say the course dey lash we but the person you dey complain plus he get 85% Those boys driving cars that will give you 1000 excuses instead of just being straight up when you ask for a ride go and chew your cars wai🙄 You guys should tell us what is on and off limits because what I want to say dier🤣 Ashesi Health center is such a JOKE Somebody for humble that Derrick guy for Dzidel’s. How can you hang up on me. Tsw The engineering department dey kill me hm Ashesi girls need to smile some more. Lots of you are unapproachable. We understand the school is hard but no be we do am please  I heard there’s a Stallion in C’24🫣😍"
Week 3,"Can’t wait for C’27 to join in January ,I heard they’re sooo fine. A lot of students vote for people without realizing it is a commitment to support whoever they vote into power. If a nation fails, it is on the faults not only of the leaders, but also of the people that didn't position themselves to run with the vision they voted for. As a matter of fact, many vote for people rather than visions. No wonder the blame game has many subscribers  Please, at least 2 posts a day🫠 I am very happy that this semester will soon end.
Bye Bye to FDE !!! Imagine o, we'd get rid of FDE very soon.... Honestly speaking, how do girls want us to approach them? To the girl who has been speaking to the guy for 6 months now, have you asked him the reason why he hasn’t asked you out? If not I really feel like you should. I think Ashesi girls could also meet us halfway. If you like a guy please let him know . Charley munchies too their new pack why? Them dey serve kids for children’s day? You tear 5 spoons nor the food fini… Ashesi isn't as stressful as students make it seem. Most people are just handling other significantly demanding things besides school or are simply disorganized and/or bad at managing their time and commitments Girl, regardless of the duration of your conversations, if he's creating doubt in your mind, remember the sister code: it's time to step away. So what is the point of locking the gates behind the new lobby and hostel 2C. Any thief can just jump over the wall. Fam, its annoying that some gates are locked around 11pm. What is the point? The one saying Ashesi isn’t stressful dierr I want whatever they’re having cause ei😂… What do you mean let the guy know you like him? If the guy likes you enough, he will approach you. There’s a certain room on the top floor of New Masere. Those two boys should know that the hostel walls are very thin wai😂we hear all the nasty things they say about people🤢 But ashesi boys do you smile? How can I meet you halfway🤣 Ashesi boy math: They ask if you are single but never shoot their shot🙄 The man at essentials too why just small thing he dey get angry or he don't know we are Dbees. You guys for talk to him ooo New masere boys, please line up outside, stop hiding in the room, I want to see something 😀 I’m looking for some guy in Dufie Annex
If you’re nice,please meet me at Hakuna 
11 am Saturday sharp👍🏾 Nana Yaw Ntim. I want you. Just because we vote for leaders doesn't mean we are not allowed to criticize or blame them. We are holding them accountable for the promises and dreams they sold us when they were rattling their manifestos.
 The fact that we have given someone power doesn’t mean we should follow them blindly and keep mute when they are not fulfilling their duties. Dear Ashesi Boys,
Not all of you are destined to have beards and that’s okay Repeat after me Ashesi boys: Braids are not for everyone!! I don't know what to say but hi guyss
 Some of us are shy, but we are fun when you get to know us. Don't hesitate to approach us guysss😘. Person canvas dey show four 90's and one 67🥲....and guess the 67....0.5 Leadership!!!!😪...why????? Beyond surface level interactions, about 50% of Ashesi Students are assholes! Ashesi girls should stop saying we don’t approach them. If we do, you’ll tell us you have meeting to go to. The new Perkish place has better waffles. Bye bye burnt waffles and wings for 35 cedis. Do Ashesi boys realize some girls are simply uninterested like please focus on your studies and leave us alone I love my friends so much! Ashesi really breeds some long lasting and meaningful sisterhoods and I’m so grateful🩷 Eiii boys beware ooo… they said don’t approach them. They’ll bite you. The hate is too much for so called ethical leaders. It's in the air, everywhere. It's just a degree. Please breathe and free your heart. Rapture is near yk!  Yo, since the Ashesi boys won their game against Academic City, we, the Sisters, have agreed to dish out free smiles all week. I am thinking right - munchies is the worst on Sundays - i can’t order food until after 4 pm and their on campus “franchise” doesn’t deliver off campus. Please don’t tell me to talk - it’s exercise. I beg yew  The ashesi girls don’t they have ceilings, we are waiting for the surround sound videos"
Week 4,"please ‘ink is back’ or so; if you no fit post gist, shun because what’s this “boys meet us halfway” and “girls smile” boie3  Anytime you see Tracy C'24, the cute one, give her 50 cedis and see me, I'd replenish it for you. 

~Secret Admirer~ If it’s been half a year and you guys are still in the “talking phase”, idk what to tell you sister 😄 Low key why are some Engineering not helping like that. You see student putting in so much and you give them 1 over 20 in quiz. They scornfully marks I'm assignment and labs, at the end they get an E . . . Like howwww ?????
 Grow up boys ! Stop kissing and telling !! Y’all are making Ashesi seem like high school ! Bro you’re not 16! Talk to God instead of man! There is a 24 girl, you always ignore me on campus, you don't even say hi, so please stop sliding in my dm my dear. Thk you Ashesi girls with wrinkled thighs and black  bleached asses, please stop wearing those small jeans around. I feel sick when I see them. love how 26 boys go all out and spend on their girls To the girl who said ashesi guys should focus on their studies and not to approach them, please we need you only for our stay in Ashesi not for life so please cope and be humble. Thank You Will the bus thing to Accra be implemented before the sem ends? Masa, even people who take parking tolls in kejetia and things is it not 5 cedis and 10 cedis. 300 dollars how?! tsw Triumphant entry koraa Jesus didn’t take anything, they should take their road omo, una dey suffer - parking fee dey sound like una e-levy (just my humble opinion 🤣) - sika mpe dede nti UT cabs dier cash out season o cause you dbees still won’t want to walk✋🏾😀 I never really understood the meaning behind those who drive to campus from off campus aside showing off. You are at Dufie but you have a car because you can't climb a hill? I mean, I get it's easier but are you 50? Be fr. I dunno, a lot of your are overreacting to the parking fee. Who pays to maintain the roads, bricks, asphalt, line demarcation etc.? That's the point of the parking fee. You enjoy a resource, pay to maintain it. If the school fees go toward it, then you're forcing people without cars to also maintain a resource only you enjoy. Pay up or walk. The car park thing is or in my opinion a policy to curb the number of cars on campus because some members of staff who drive do not even get a space to park but i am wondering - are the staff part of this new policy? 
3,569.67 cedis a semester for parking?
fuel b3si sei? Next sem dier Leg-xus nkoaaa o Basic economics, people who value a commodity more will pay higher to use it (independent rationing mechanism). If you can't pay the parking fee, park your car off campus and walk. Those who really need the parking space will pay. If you can't pay, walk to class. Other universities that offer parking space also enforce parking fees and stickers because someone needs to pay to be maintaining the facilities involved in parking. Do some research. The parking fee is necessary mmom because some of you are very inconsiderate. How will you come and park your car at the same spot from 8 am till midnight depriving other people of parking space? If Ashesi now introduces parking meters too you'll complain, but you're deliberately hogging up public space. Those of you that have also been parking in the disabled parking spots, and long periods at that too, why? Don't you understand the point of disabled parking? At least, now the parking fee will force a lot of you to reconsider your selfish ways. The person talking about showing off should spend a sem at Charlotte and see something... not an ashesi student but it’s ridiculous to make students pay *in dollars* to park on campus. say the reason is even for make the campus greener, ashesi students probably bring cars because there isn’t readily, trustworthy transportation from the ashesi team. considering the school fees they pay too, it’s wild that they’re still finding ways to take money from students 💀 I know we all say this but from the bottom of my heart I’m tired  The next year 3 semesters dier them for bring the grading down o Really dreading next year This parking issue is a reflection of Ashesi’s pure wickedness. First having to pay fees for the accelerated semester, now $150+ a day to park? Very inconsiderate of our parent’s money."
Week 5,"If you can't get a proper and secure voting platform stick to Microsoft forms😒...@JEC ei but they typed oo🤣🤣 That 25 engineering student with the “ uk” accent. You are not who you think you are wai. You naa you know yourself and what you did. Tsw I think some Ashesi boys Dont actually know when they're crossing the line into sexual harrassement and should get educated in it. Like seriously. Understand that No means no. Pt 1: You a, you said you'd been studying me and you wanted to date. I said sure lets talk over a proper date. Sake of 1 munchies sharwama and 1 sandwich you had to buy, you waited for me to get back to my room and sent me a message that “ you don't think you're ready financially for this relationship “. I said vim, no problem. Pt 2: That was 1st year 1st Sem. 2nd year 2nd sem , you changed your number and came back to text me that “ you’re so sorry for “hurting” me and it haunts you every time you see me and you want to approach me blah blah blah.” I said it’s alright I’m not hurt or bothered, because tbh I don’t know you. You are the one that was “studying “ me . Pt 3: I said I’ve forgiven you no need to feel haunted. You said oh let's continue what we started I want to approach you . I said respectfully I’m not interested so no. You keep forcing, I keep saying no.  There norrr “ don’t you go to church, so you can’t forgive a brother?.” Ei! On top my own personal preference you’re harassing me and questioning my religious background? Please I know the children my mother gave birth to wai, you're not part. Ashesi boys please learn some manners SLE and ODIP  needs to talk to Ashesi boys about consent. You can't just touch a girl if she has not verbally expressed consent in participating in whatever action you want to do. If you can sign contract kraa sign. Before you get carried to AJC for rape or molestation. MUNCHIES PLEASE WORK ON YOUR KITCHEN END - FRONT  DESK END COMMUNICATION!!! How can I come and order food that's on your board you're telling me it's not available for 3 consecutive meals?? Even giving me tissue to clean the board for you. Ei. Yall started so well idk what is going on now. Some of you are either immune to this bipolar Berekuso weather or have never been given a ride and it shows🤭 The 'maintenence of resources' does not hold water because the roads are a public resource and even if no student brought a car, the school would still have to maintain the roads and all associated with it because it is in their best interest as staff and visitors will also use it.  Those who can pay will pay. Sure. However, don't you think it is unfair and somewhat unethical of Ashesi to price students out of parking when the crux of the issue appears to be the school's failure to factor students bringing cars oncampus into their campus design? The $300 parking fee is excessive and can only be a temporary measure until they provide students adequate parking spaces. Trust, more people than they expect will pay and that parking fee in the end will not solve the issue. Let's not pretend they do not have the resources to provide adequate parking. Besides, Ashesi needs more parking spaces if they plan on hosting big events with visitors. Oh but you’ve been staring at me since the start of the semester oo madam. Don’t be afraid to approach please, girls can approach boys too. every event you are looking for a bomber lmao Going around asking for votes is sad. Can you guys stop already.   It’s appalling how people start making generalisations after a bad encounter. Charley y’all should check your facts before you make generalisations waii😤😤 why wasn't Kb nominated in the first place ? Some Ubora Awards nominees were patched(illegally put there)  Why do Ashesi girls like to generalize Ashesi boys like that about things. If things were reversed it would be termed misogynistic or misogynistic adjacent. Most of them are mid and they see themselves too much I get that Ashesi is a school for extroverts and all but, people need to stop assuming every student is an extrovert, it's not easy for some of us. Our social battery dies really fast we beg relax for us😭. It takes time for us to come out of our comfort zone so please we beg bare with us and be take your time with us🤧🙏🏽 Engineering must be so easy because drafting an ASC mail, curating Havoc and mass brainwashing - All hands on Deck🤲🏿 Where free food dey, my vote you get💀 Aspirants doing a good job,don't know where from ASC tho😒 ASC and JEC got beef or what?🤨 Some coming with policies and others with promises  I think whoever it is who came up with the genius idea of sending an email to the student body that can influence people to think one candidate is a fraud should be relieved of their position - it was grossly out of line and unethical! So much for ethical leadership🙄 Someone should tell Salia to answer the question about the initial poster. If he doesn’t we won’t vote  The Whole campaign issues ( salia factor) is the fault of the vetting committee and JEC. This should have being addressed a long time ago Is Ashesi ethical ??. cause..."
Week 6,"Big ups to Chudem Active! Shadout to my bae - Judit Yaa Ampomaa - she’s guuuuuld 😂😂 - another bae from the heavens - Odumma  Another nigga - Jego - mheeernnn - half of C’2025 students’ owe this guy - he’s kind of our lecturer now you know  Shout out to all Precalculus 2 students  it hasn't been easy with constant homework submissions every Monday
By the way l know someone  of u won't  text me again  since we are done but remember if u text during Applied Calculus  for homework help
ecast oooo so please be checking up🤣🤣😂 Shout to Alice C'26  l appreciate our friendship 😊😊😊💓 since the day l set my eyes on u  S/o to Deborah mhern… she’s so cool🙂 Thank God for my friends. Honestly, I don't know how I would survive here without them Dr Esther Laryea, you’ve been an amazing Lecturer. Thank you! I want to say thank you to Valencia the cute guy in 2025 for helping me get through this semester, It was hard 😭i almost considered dropping out. He has been such a good friend and a great listener, I have had so many problems this semester but he was always patient with me. 
Love,
You know who😉 Shoutout to everyone on Team Gaea.
You all are the best fr Shoutout to Anna for being an amazing friend.
 I’m so happy I’m done with my FDE group. Those people were too stressful hm Met the love of my life this semester. He treats me like a princess. There are still some good Ashesi boys. Very few tho😭 Transformers! 😭😭 Even though I wasn't a big fan of FDE, I genuinely enjoyed the company of each and every one of you. We had a lot of fun and shared so many good times. With FDE coming to an end, I'm really going to miss you all, including the rest of you in cohort H. 🥺 Wishing each and every one of you a fantastic journey ahead. Have a wonderful life, guys!

With love,
-The Enigma🤭
 sending loads of love to bikini bottom, you guys held me down fr fr💗 Shout-out to the people in Queenstar hostel who disturb their neighbors because they think it is okay to play loud music with their friends till 02pm during exam periods, midsems and even now during finals.  Arnold C'26, my friend likes you a lot, and I understand you're in a relationship. However, we're determined to pursue you, so I'm asking you to consider ending things. I know I have some audacity btw... The one about  princess treatment is so accurate...makes the semester so much more bearable fr...ilysm bby The inri guy is really fresh if he's not taken. I'd like him to give me a chance. I'm in your leadership class btw Shout out to Zoie C’26. Best person everrrr🤍🫶🏾 Asoh C’26 you’re going to be mine in due time🫵 Can't believe the semester is ending. Ariana I am glad I met you because I've not stopped laughing since I did. God bless you for your friendship. The Jason with the long hair and glasses in 25 is my crush🤭🤭 Those two girls in 26 that are always together, one has locs and the other is lightskin, I want them so bad  Princess(C'25), you are a cool person. It is pointless trying to proof it to people who don't really care about you. Please remember it is not by force to find the love of your life in university! The girl who said her love treats her like a princess no, if you who I think you are then
LOL. Partey that boy in C’26, please tell me what’s going on because right now I’m confused. And please stop avoiding me I need a peace of mind to write my exams I really appreciate all my day 1 boys. Y’all been there for each other. Partey, Pounds, and the rest Emmanuel Boateng C’26. My friend wants to take you to AJC and I’m the only reason why she’s not gone yet because I like you so much. If you don’t reach out by next week be prepared for a hearing. Please who can we report to if you feel lectured and FIs are not being ethical because personally I think the whole of FDE management is not very ethical in their doings  Please not all of you have to show your stomach wai. When y’all sit the layers scare me so please consider covering them up I’m really begging  Somebody wey get 21.5/20 dey complain. Wmt wae  Somebody wey get 21.5/20 want complain plus we herh boys! Elikem (with the crazy hair), thank you for being such a huge huge help to a lot of us. It hit me today that I've never said thanks for all of your help Partey, Ama shahid she likes you oo. She Dey gimme pressure abeg look sharp Shout Outs to the outgoing ASC and club execs. Despite being students just like us, they sacrifice the most invaluable resource available on earth, time, to move things around to foster the growth of Ashesi as a community. Whether we enjoyed or noticed their work or not, we can't deny the sacrifices they made. Well done! Shout outs to the engineering'24 boys. Your energy is contagious...for those with energy 😂 🌟 Part 1: Personal Shoutout
Hii Ashesi! 🎉 I want to take a moment to give a massive shoutout to someone extraordinary in our community – Elikem C'25! 🚀

🌈 Part 2: Beyond Brilliance
Elikem, isn't just a brilliant person; he's such a God-sent🌐. True defintion of ""Not all Heroes 🦸🏾‍♂️ wear capes "" From lending a hand to C'24s, mentoring many in C'25, or supporting folks from C'26 and even our friends from C'27 Nigerien – you show how really amazing you are! 🤝 His intelligence isn't just about grades; He use it to teach and uplift everyone around you. 📚🌟 Can't say the number of times you've helped me out of my crap. Such an awesomee listener☀️💫🌱

💙 Part 3: Unsung Hero
Elikem, here's the thing – you're more than the go-to genius. 🗣️ 🗣️ 🗣️  Beyond textbooks, you're an unsung hero. People reach out when they need help. Sincerely appreciate the amazing OG, friend, brother, Guy, Crush, and listener he is. 🙌 You're valued more than you know love🌈💙 ifykyk 🌝🤭

🌟 Part 4: Recognition is Due
🏆 I never saw your name nominated for Caught Being Good, Ubora, nothing Let's change that! 🌟 Hopefully that changes soon! 🌟 

🌟 Part 6: Share Your Elikem Moments
Wouldn't it be nice to hear from you all! 📖 Share your personal Elikem stories in the comments – the late-night study sessions, the wise advice – 

🎉 Part 7: Elikem, You're Exceptional
 You're really exceptional Elikem, your brilliance, kindness, and selflessness make Ashesi shine a bit brighter.🌟 Proud to call you a friend. Here's to you charley 🥂 Sending tons of love your way. 💓💝💗💕💞💞💞💞



 Peer review be some nasty work Peer Review is crazy 
Tell me why someone is only realizing in the class group that his teammates sold him out The engineering students dey see demma body too much ah. Nobody forced you to pick a difficult course  Nobody dey vex me pass the dean’s list people who dey complain  Somebody free me from this evil school  Someone should tell Gilbert C’26 to stop talking to other people’s girls and find his own The Hi5 people too dem dey keep plus the food. Someday I waited for almost an hour"
Week 7,"Quaynor ‘24, I have given up on pursuing my computer science degree. I am now pursuing you 🙈 just so you know… I hate it when Ashesi boys threaten to remove our wigs. It’s pathetic and unfunny  I just wanna give a shoutout to Stack and Rolls. Chale the samosa dey bee ooo, and chale that kosua ne meko just hits right. Just go to Old Hosanna on Friday or Saturday and tell me I'm lying.  Hey guys, so about the new parking policy, some of us are signing a petition to push the board to reconsider the implementation of it and take the concerns of students into account. Kindly sign this as soon as possible if interested using the link provided. Na 300 dollars dier bossu ha far? (For the Ink Team. Please make this link active on the post so people can click on it. Thank you). https://forms.gle/6FyEkZRie7fBxHoV6 is Kofi Agyapong (C'24) single? So when people see the opposite sex talking, it means they're dating? Like fr? What happened to healthy relationships? So one can't keep female/male friends without thinking of romance 🤔 Good luck to everyone on their exams this week. I know this sem has been rough but let's finish hard. We've got this🤍 What's really fun on campus though? Personally these parties and ASC activities don't even hit. Well that's kinda failed so let's go natural, try some stand-up com or sth next sem🤷‍♂️ Hi 5’s service is far slower the munchies. They fell off really early🤣 We need to take a moment to appreciate Mrs. Awuah because Pre-calc wasn't easy, but this woman made sure we had it easy.  They will say yes, grades ain't important, but just pass by Nutor Hall. You'll see their names on the dean's list. Shout out to the fanfoolers out there... I love love my girls who help each other pass the courses in Ashesi. Much love to Zuu, Purity, Yaa, Sally, Bernice, Bel, Anamalia ( C'26). So, I am a Snapchat newb. And I had a crush on someone I had never talked with.
But I used to go to his Snapchat DM and write a lot of things I would never send. Sometimes, I did this multiple times a day.
And I did not know that Snapchat sends you a notification when someone is typing in your DM.😂
I wonder how many times my name came up in his notifications
If you are the person, I promise I am not weird, I was just delulu🤣🤣🤣
 Munchies food is bad fr!😔 Fde too you carry T.I 89. 😂😂 Why the TAM another approach dey way we go take calculate am 2hrs and 30 mins FDE paper too you carry belaqua 1500ml 😂😂 why ... tell us so who handles this account???😭😭 How do y’all get over crushes as quickly as possible? I need to get over this boy as fast as possible. He’s threatening the peaceful balance of my school ecosystem 😭 Appreciation post dedicated to Sylvia in C2026. Beautiful, smart and kind hearted girl who is also God fearing , a great friend you are. Much love.❤️ This thing of coming to use with no strings attached mindset must end. Some of us are here thinking about marriage and you want to come and play? Dey play. You never share my responses. I give up🚶🏾‍♀️(in the other direction) Austine, your help to Pre-calc students will not be forgotten. Thank you so much for being a nice guy and taking your time out for us. See you in Statistics😂 This is a huge shoutout to people in the class of 2026 who have taken up initiatives and played wonderful roles in the community; Stephanie, Beyoncé, Daryll, Akua, Nana Amoako, Maame Yaa, Peggy, Reindorf, Joshua, Pfungwa, Ariana, Mmalebna, just to name a few. You truly are inspirational and trust me, you guys really make a difference. Keep doing you!  This mechanics paper, only God can save me Free me from this evil course Engineering Mechanics is after my life"
Week 8,"My candidates next year because this year waiiii.... I no see top.
Ariana G. for president, K. Kekeli for vice 
Ella for JEC, Dasuki for Vice

Argue if you don't think so.

 Some boy dema call syme take my babe. God see's all. 
Next semester I'll do cornrows like the boy so she'll run back.
 NGL I think because of the beautiful women at Ashesi, I'm joining the LGBATHQ community. Because we no didn't sign the honour code, they think we are criminals lol. Some mentality fr. #Justicefor2026. Don't know about y'all but this walk isn't shameful, it's a walk of pride because that nigga make me weak. Austine (Pre-calc), I'm grateful for time and effort you put into helping me and other students to improve our grades. Keep being the smart, nice guy you are. So those of us who cant pass the papers this sem the grad we no go see top?🥲 Networks students, please we have a class at 6 p.m after DSD today, because what Bob Sowah wants to do to us deɛ, hmmmmmm😭😭 School is stressful? Let me tell you 3 bytes about it; hopefully you'll get :)

One step at a time 
Paying the currency of time 
More sour than lime
Disconcerting like brine 

There is an end that is mine
Through the path that I stand
There's no gain without a price
But sometimes I wonder if I can

I bear the pressure daily 
Like 10,000 feet beneath the sea
It appears I'm drowning 
Yet I still manage to see 
I still manage speak right from under the deep

It seems I've been there for many years 
But strangely experienced not death but only fear
Wondering if it were more than me yet finding no tears to grieve,
I looked around and noticed a sea of others living beneath this heavy sea strangely easily

Then I realized, I never really was under the sea
But in  simulation of the things that must be
No wonder I could breathe and still manage to speak
Though the water was thick and sometimes darker than ink

It sure seems tough for  a simulation but I guess it's worth it if I can breathe and live under any depth at the end of it Am I the only one failing FDE?? Because eii Engineering mechanics kwerh!!! I can’t do this for four years o The semester was very stressful and challenging. I can't believe I'm already studying into the night for exams eeiii level 100 wow Hmm if I start, I’ll vex waii so it’s okay. I’m just glad it’s over. Eihh. Odeishiii Everyone is playing with my gradessss!!!!
FDEEE eiii hm. I now understand, 'nipa no bi y3 cobra'. Nipa no bi y3 cobra ankasa.  Trust no one🤧 Chale I beg Eiii semester of struggles. In fact this semester has shown me shege
 Since the grades aren't grading anymore, I might as well start prepping to be oga wife😂😂 I don't know who needs to hear this, but whatever your grades may be, do not let it define your whole life. Your happiness is worth more than grades!🤗 A word to our all-knowing colleagues: Life is full of surprises. So learn to support others without making yourself feel too good."
Week 9,"It’s funny how FIs that are past students act like they haven’t been students before! Dear Wednesday,

Like a fiery furnace, this feeling burns endlessly,
My soul searches for yours earnestly,
From the first glance to our first trance,
Finally confessing you loved to dance.

Lost and found myself in you,
A journey you walked in shades of blue,
Lost and found a story so divine,
Forever we hope our hearts entwine.

I sought a change, you brought in me,
Like deliverance, a soul set free,
In the loud silence of my night,
Whispers of your love takes flight.

Hoping that in your hands, my heart is safe,
A hiding place, where my love finds it perfect shape,
Forever, a time to short to be with you,
For in the heat of moments, our love is born anew.

Love,
Honeypot. Dear Wednesday,

Like a fiery furnace, this feeling burns endlessly,
My soul searches for yours earnestly,
From the first glance to our first trance,
Finally confessing you loved to dance.

Lost and found myself in you,
A journey you walked in shades of blue,
Lost and found a story so divine,
Forever we hope our hearts entwine.

I sought a change, you brought in me,
Like deliverance, a soul set free,
In the loud silence of my night,
Whispers of your love takes flight.

Hoping that in your hands, my heart is safe,
A hiding place, where my love finds it perfect shape,
Forever, a time to short to be with you,
For in the heat of moments, our love is born anew.

Love,
Honeypot. I might as well drop out. What on earth are these grades?! After all the effort ? Ei Ashesi! Love and appreciate you so much Dr. Laryea ♡! Low key Ashesi Girls could teach some boys how to be around women oh. Like, there are a lot beautiful women / ladies yet most guys will remain single till they graduate. It'll be sad if a guy leaves school and still is ""shy"" or not good with women, oh, like how 😔 ei, nti saannnn I haven't been on the Dean's List ever since I began schooling here. I know I never thought about it's essence but ei, herh 😔 Ei! Ariana break heart o. She leave Ashesi, she no tell anybody bye and I make plans for next semester. Asem oooooo

 I was playing Cocteau twins(heaven or Las Vegas)in the dlab and someone hummed along. Didn’t know who it was but whoever it is, mmuah💋💋"
Week 10,"Hope I'm not 🏃🏃 too late. 

Want to say a big shout out to this girl who crowned academic year 2023 for me by putting a 🌺 in my 💆 I think she really deserves the best of all worlds especially in 2024🫶 and I wouldn't be ndn 2023 right if I don't get this shout, out. 

To whom it may concine, big long hugs😝, love☃️🌺"
